State,Year,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Avg UI
Montana,2016,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.0,4.0,4.0,4.1
Nebraska,2016,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
Nevada,2016,6.2,6.1,6.0,5.9,5.8,5.8,5.7,5.6,5.5,5.5,5.4,5.3,5.7
New Hampshire,2016,2.9,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.9
New Jersey,2016,5.0,5.1,5.1,5.1,5.1,5.1,5.0,5.0,4.9,4.9,4.8,4.7,5.0
New Mexico,2016,6.6,6.6,6.6,6.7,6.7,6.7,6.8,6.8,6.7,6.7,6.7,6.6,6.7
New York,2016,4.9,4.8,4.8,4.8,4.8,4.8,4.9,4.9,4.9,4.9,4.9,4.8,4.9
North Carolina,2016,5.3,5.2,5.2,5.1,5.0,5.0,5.0,5.0,5.1,5.1,5.1,5.0,5.1
North Dakota,2016,3.1,3.2,3.2,3.2,3.2,3.1,3.1,3.0,3.0,2.9,2.9,2.8,3.1
Ohio,2016,4.9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.1,5.2,5.2,5.2,5.1
Oklahoma,2016,4.6,4.7,4.8,4.8,4.9,4.9,4.9,4.9,4.9,4.9,4.8,4.7,4.8
Oregon,2016,5.1,5.0,5.0,5.0,5.0,5.0,4.9,4.8,4.7,4.6,4.4,4.3,4.8
Pennsylvania,2016,5.3,5.3,5.3,5.4,5.4,5.4,5.5,5.5,5.5,5.5,5.4,5.3,5.4
Rhode Island,2016,5.5,5.4,5.4,5.4,5.4,5.3,5.3,5.2,5.1,5.0,4.8,4.7,5.2
South Carolina,2016,5.4,5.4,5.3,5.2,5.1,5.0,4.9,4.8,4.7,4.7,4.6,4.6,5.0
South Dakota,2016,2.9,2.8,2.9,2.9,2.9,3.0,3.0,3.1,3.1,3.1,3.1,3.2,3.0
Tennessee,2016,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.8,4.8,4.7,4.7,4.7
Texas,2016,4.5,4.5,4.5,4.5,4.6,4.6,4.7,4.7,4.7,4.8,4.8,4.8,4.6
Utah,2016,3.6,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.3,3.3,3.3,3.3,3.4
Vermont,2016,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.1,3.2
Virginia,2016,4.1,4.0,4.0,4.0,4.0,4.1,4.1,4.2,4.2,4.2,4.1,4.1,4.1
Washington,2016,5.5,5.5,5.5,5.4,5.4,5.4,5.3,5.2,5.1,5.1,5.0,4.9,5.3
West Virginia,2016,6.4,6.4,6.4,6.3,6.2,6.1,6.1,6.0,6.0,5.9,5.7,5.5,6.1
Wisconsin,2016,4.2,4.1,4.1,4.1,4.1,4.1,4.0,4.0,4.0,3.9,3.8,3.7,4.0
Wyoming,2016,5.1,5.3,5.5,5.6,5.6,5.5,5.4,5.3,5.1,5.0,5.0,4.9,5.3
Puerto Rico,2016,11.8,11.7,11.6,11.6,11.5,11.5,11.6,11.7,11.9,12.1,12.1,12.0,11.8
