State,Year,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Avg UI
Alabama,2016,6.0,6.0,5.9,5.9,5.8,5.8,5.8,5.8,5.9,5.9,5.8,5.7,5.9
Alaska,2016,6.7,6.8,6.8,6.8,6.9,6.9,7.0,7.0,7.0,7.0,7.0,7.0,6.9
Arizona,2016,5.7,5.6,5.5,5.5,5.4,5.4,5.3,5.3,5.2,5.2,5.2,5.2,5.4
Arkansas,2016,4.2,4.1,4.1,4.0,4.0,4.0,3.9,3.9,3.9,3.8,3.8,3.7,4.0
California,2016,5.7,5.6,5.6,5.5,5.5,5.5,5.5,5.4,5.4,5.4,5.4,5.3,5.5
Colorado,2016,3.5,3.4,3.4,3.4,3.4,3.4,3.3,3.3,3.2,3.1,3.0,2.9,3.3
Connecticut,2016,5.5,5.5,5.4,5.3,5.3,5.2,5.1,5.0,5.0,4.9,4.9,4.9,5.2
Delaware,2016,4.6,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.6,4.6,4.5
D.C.,2016,6.4,6.3,6.2,6.1,6.1,6.1,6.1,6.0,6.0,6.0,6.0,6.0,6.1
Florida,2016,5.0,5.0,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.7,4.7,4.8
Georgia,2016,5.5,5.5,5.4,5.4,5.3,5.3,5.3,5.3,5.3,5.4,5.4,5.3,5.4
Hawaii,2016,3.1,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.8,2.8,3.0
Idaho,2016,4.0,3.9,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.6,3.6,3.5,3.8
Illinois,2016,6.1,6.1,6.1,6.0,5.9,5.9,5.8,5.7,5.7,5.6,5.5,5.4,5.8
Indiana,2016,4.6,4.7,4.7,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.1,4.0,4.4
Iowa,2016,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.6,3.6,3.6,3.5,3.5,3.6
Kansas,2016,3.9,3.9,3.9,4.0,4.0,4.1,4.1,4.1,4.2,4.1,4.1,4.0,4.0
Kentucky,2016,5.3,5.2,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.2,5.2,5.2,5.2
Louisiana,2016,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.0,5.9,5.9,6.1
Maine,2016,3.9,3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.8,3.7,3.6,3.5,3.8
Maryland,2016,4.6,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
Massachusetts,2016,4.3,4.2,4.1,4.0,3.9,3.8,3.7,3.7,3.7,3.7,3.8,3.8,3.9
Michigan,2016,4.9,4.9,4.9,4.9,4.9,4.9,5.0,5.0,5.1,5.1,5.2,5.1,5.0
Minnesota,2016,3.7,3.7,3.7,3.8,3.8,3.8,3.9,4.0,4.0,4.0,4.0,3.9,3.9
Mississippi,2016,6.2,6.1,6.0,6.0,5.9,5.9,5.8,5.8,5.7,5.6,5.6,5.5,5.8
Missouri,2016,4.4,4.4,4.4,4.5,4.6,4.7,4.8,4.8,4.8,4.7,4.5,4.3,4.6
