State,Year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Avg UI
Alabama,2014,6.1,6.4,6.7,6.9,6.8,6.8,7.0,6.9,6.6,6.3,6.0,5.7,6.5
Alaska,2014,6.4,6.5,6.6,6.4,6.4,6.4,6.5,6.8,6.8,6.8,6.6,6.3,6.5
Arizona,2014,7.5,7.3,7.3,6.9,6.8,6.9,7.0,7.1,6.9,6.8,6.8,6.7,7.0
Arkansas,2014,7.3,7.1,6.9,6.6,6.4,6.2,6.2,6.3,6.2,6.0,5.8,5.7,6.4
California,2014,8.1,8.0,8.1,7.8,7.6,7.4,7.4,7.4,7.3,7.3,7.2,7.0,7.6
Colorado,2014,6.1,6.1,6.2,6.0,5.8,5.5,5.3,5.1,4.7,4.3,4.1,4.0,5.3
Connecticut,2014,7.2,7.0,7.0,6.9,6.9,6.7,6.6,6.6,6.4,6.4,6.5,6.4,6.7
Delaware,2014,6.1,6.0,5.9,5.8,5.9,6.1,6.2,6.5,6.5,6.4,6.0,5.4,6.1
D.C.,2014,7.4,7.4,7.5,7.5,7.5,7.4,7.4,7.6,7.7,7.6,7.4,7.3,7.5
Florida,2014,6.1,6.2,6.3,6.2,6.3,6.2,6.2,6.3,6.1,6.0,5.8,5.6,6.1
Georgia,2014,7.3,7.1,7.0,7.0,7.2,7.4,7.7,8.1,7.9,7.7,7.2,6.9,7.4
Hawaii,2014,4.6,4.6,4.5,4.4,4.4,4.4,4.4,4.3,4.2,4.1,4.0,4.0,4.3
Idaho,2014,5.4,5.3,5.2,5.0,4.9,4.7,4.8,4.7,4.5,4.1,3.9,3.7,4.7
Illinois,2014,8.7,8.7,8.4,7.9,7.5,7.1,6.8,6.7,6.6,6.6,6.4,6.2,7.3
Indiana,2014,6.4,6.1,5.9,5.7,5.7,5.9,5.9,5.8,5.7,5.7,5.7,5.8,5.9
Iowa,2014,4.3,4.4,4.5,4.3,4.4,4.4,4.5,4.5,4.6,4.5,4.3,4.1,4.4
Kansas,2014,4.8,4.9,4.9,4.8,4.8,4.9,4.9,4.9,4.8,4.4,4.3,4.2,4.7
Kentucky,2014,7.7,7.8,7.9,7.7,7.7,7.4,7.4,7.1,6.7,6.2,6.0,5.7,7.1
Louisiana,2014,4.9,4.5,4.5,4.5,4.9,5.0,5.4,5.8,6.0,6.2,6.5,6.7,5.4
Maine,2014,6.2,6.1,5.9,5.7,5.7,5.5,5.5,5.6,5.8,5.8,5.7,5.5,5.8
Maryland,2014,5.8,5.7,5.6,5.5,5.6,5.8,6.1,6.4,6.3,6.0,5.6,5.5,5.8
Massachusetts,2014,6.8,6.5,6.3,6.0,5.6,5.5,5.6,5.8,6.0,6.0,5.8,5.5,6.0
Michigan,2014,7.8,7.7,7.5,7.4,7.5,7.5,7.7,7.4,7.2,7.1,6.7,6.3,7.3
Minnesota,2014,4.7,4.8,4.8,4.7,4.6,4.5,4.5,4.3,4.1,3.9,3.7,3.6,4.4
Mississippi,2014,7.5,7.4,7.6,7.5,7.7,7.9,8.0,7.9,7.7,7.6,7.3,7.2,7.6
Missouri,2014,6.0,6.4,6.7,6.6,6.6,6.5,6.5,6.3,6.3,5.9,5.6,5.4,6.2
Montana,2014,5.3,5.1,5.1,4.8,4.6,4.5,4.6,4.7,4.6,4.5,4.3,4.2,4.7
Nebraska,2014,3.5,3.6,3.7,3.6,3.6,3.5,3.6,3.6,3.6,3.4,3.1,2.9,3.5
Nevada,2014,8.7,8.5,8.5,8.0,7.9,7.7,7.7,7.6,7.3,7.1,6.9,6.8,7.7
New Hampshire,2014,4.9,4.7,4.5,4.4,4.4,4.4,4.4,4.4,5.2,4.2,4.1,4.0,4.5
New Jersey,2014,7.1,7.1,7.2,6.9,6.8,6.6,6.5,6.6,6.5,6.6,6.4,6.2,6.7
New Mexico,2014,6.6,6.7,7.0,6.8,6.5,6.5,6.6,6.7,6.6,6.5,6.4,6.1,6.6
New York,2014,6.8,6.8,6.9,6.7,6.7,6.6,6.6,6.4,6.2,6.0,5.9,5.8,6.5
North Carolina,2014,6.7,6.4,6.3,6.2,6.4,6.4,6.5,6.8,6.7,6.3,5.8,5.5,6.3
North Dakota,2014,2.6,2.6,2.6,2.6,2.6,2.7,2.8,2.8,2.8,2.8,2.7,2.8,2.7
Ohio,2014,6.9,6.5,6.1,5.7,5.5,5.5,5.7,5.7,5.6,5.3,5.0,4.8,5.7
Oklahoma,2014,5.2,5.0,4.9,4.6,4.6,4.5,4.6,4.7,4.7,4.5,4.4,4.2,4.7
Oregon,2014,7.0,6.9,6.9,6.9,6.9,6.8,6.9,7.2,7.1,7.0,7.0,6.7,6.9
Pennsylvania,2014,6.4,6.2,6.0,5.7,5.6,5.6,5.7,5.8,5.7,5.4,5.1,4.8,5.7
Puerto Rico,2014,15.2,15.0,14.7,14.1,13.8,13.1,13.1,13.5,14.1,14.0,14.0,13.7,14.0
Rhode Island,2014,9.2,9.0,8.7,8.3,8.2,7.9,7.7,7.7,7.6,7.4,7.1,6.8,8.0
South Carolina,2014,6.4,5.7,5.5,5.3,5.3,5.3,5.8,6.4,6.6,6.7,6.7,6.5,6.0
South Dakota,2014,3.6,3.6,3.7,3.8,3.8,3.8,3.7,3.6,3.4,3.3,3.3,3.3,3.6
Tennessee,2014,7.2,6.9,6.7,6.3,6.4,6.6,7.1,7.4,7.3,7.1,6.8,6.6,6.9
Texas,2014,5.7,5.7,5.5,5.2,5.1,5.1,5.1,5.3,5.2,5.1,4.9,4.6,5.2
Utah,2014,3.9,3.9,4.1,3.8,3.6,3.5,3.6,3.6,3.5,3.6,3.6,3.5,3.7
Vermont,2014,4.0,3.7,3.4,3.3,3.3,3.5,3.7,4.1,4.4,4.4,4.3,4.2,3.9
Virginia,2014,5.0,4.9,5.0,4.9,5.1,5.3,5.3,5.6,5.5,5.3,5.0,4.8,5.1
Washington,2014,6.4,6.4,6.3,6.1,6.1,5.8,5.6,5.6,5.7,6.0,6.2,6.3,6.0
